fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00657	HG00657	HG00658	HG00658	59.268	6	19.87	1.0776000000000001	full-sibling
HG00657	HG00657	HG00702	HG00702	60.407	4	32.58	1.098309090909091	parent-child
HG00657	HG00657	HG00703	HG00703	51.093	2	31.556	0.9289636363636364	parent-child
HG00658	HG00658	HG00702	HG00702	87.195	7	32.901	1.5853636363636363	full-sibling
HG00658	HG00658	HG00703	HG00703	58.567	5	32.901	1.0648545454545455	full-sibling
HG00662	HG00662	HG00664	HG00664	36.701	7	11.318	0.667290909090909	full-sibling
HG00662	HG00662	HG00699	HG00699	3.79	1	3.79	0.0689090909090909	unrelated
HG00662	HG00662	HG00701	HG00701	6.689	1	6.689	0.12161818181818182	third-degree
HG00662	HG00662	HG00708	HG00708	3.209	1	3.209	0.05834545454545455	unrelated
HG00662	HG00662	HG00709	HG00709	3.209	1	3.209	0.05834545454545455	unrelated
HG00663	HG00663	HG00664	HG00664	47.282	8	8.637	0.8596727272727273	full-sibling
HG00664	HG00664	HG00699	HG00699	3.79	1	3.79	0.0689090909090909	unrelated
HG00671	HG00671	HG00673	HG00673	54.518	8	16.77	0.9912363636363637	full-sibling
HG00672	HG00672	HG00673	HG00673	42.163	8	8.052	0.7666	full-sibling
HG00672	HG00672	HG00698	HG00698	17.561	3	6.613	0.31929090909090907	second-degree
HG00672	HG00672	HG00700	HG00700	20.764	4	6.729	0.3775272727272727	full-sibling
HG00673	HG00673	HG00698	HG00698	14.368	3	6.416	0.26123636363636366	second-degree
HG00673	HG00673	HG00700	HG00700	16.248	3	6.404	0.29541818181818186	second-degree
HG00683	HG00683	HG00685	HG00685	40.112	8	11.257	0.7293090909090909	full-sibling
HG00684	HG00684	HG00685	HG00685	46.761	9	7.811	0.8502000000000001	full-sibling
HG00689	HG00689	HG00691	HG00691	39.664	7	9.793	0.7211636363636363	full-sibling
HG00690	HG00690	HG00691	HG00691	42.381	8	12.404	0.7705636363636363	full-sibling
HG00692	HG00692	HG00694	HG00694	52.041	9	11.66	0.9461999999999999	full-sibling
HG00693	HG00693	HG00694	HG00694	43.145	9	8.949	0.7844545454545455	full-sibling
HG00698	HG00698	HG00700	HG00700	46.992999999999995	7	9.587	0.8544181818181817	full-sibling
HG00699	HG00699	HG00700	HG00700	52.24	9	10.983	0.9498181818181819	full-sibling
HG00701	HG00701	HG00703	HG00703	52.093999999999994	4	22.433	0.9471636363636362	parent-child
HG00702	HG00702	HG00703	HG00703	65.55	3	55.2	1.1918181818181817	parent-child
HG00704	HG00704	HG00706	HG00706	45.859	8	7.617	0.8338	full-sibling
HG00705	HG00705	HG00706	HG00706	36.786	6	9.886	0.6688363636363637	full-sibling
HG00707	HG00707	HG00709	HG00709	54.367000000000004	8	19.154	0.9884909090909092	full-sibling
HG00708	HG00708	HG00709	HG00709	48.266	8	9.373	0.8775636363636363	full-sibling
HG00731	HG00731	HG00733	HG00733	53.82	6	18.052	0.9785454545454545	full-sibling
HG00731	HG00731	HG01048	HG01048	5.438	1	5.438	0.09887272727272726	third-degree
HG00731	HG00731	HG01054	HG01054	4.068	1	4.068	0.07396363636363636	unrelated
HG00731	HG00731	HG01080	HG01080	4.96	1	4.96	0.09018181818181818	unrelated
