fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	predicted_relationship
HG01055	HG01055	HG01174	HG01174	6.519	1	third-degree
HG01055	HG01055	HG01175	HG01175	6.519	1	third-degree
HG01055	HG01055	HG01187	HG01187	5.176	1	third-degree
HG01055	HG01055	HG01189	HG01189	5.176	1	third-degree
HG01055	HG01055	HG01197	HG01197	6.23	2	third-degree
HG01055	HG01055	HG01199	HG01199	11.255	2	second-degree
HG01056	HG01056	HG01072	HG01072	7.561	2	third-degree
HG01056	HG01056	HG01174	HG01174	6.519	1	third-degree
HG01056	HG01056	HG01175	HG01175	6.519	1	third-degree
HG01056	HG01056	HG01183	HG01183	8.448	1	third-degree
HG01056	HG01056	HG01187	HG01187	5.176	1	third-degree
HG01056	HG01056	HG01189	HG01189	5.176	1	third-degree
HG01056	HG01056	HG01197	HG01197	10.036999999999999	3	second-degree
HG01056	HG01056	HG01199	HG01199	11.748	1	second-degree
HG01060	HG01060	HG01062	HG01062	53.737	8	full-sibling
HG01060	HG01060	HG01072	HG01072	24.863	5	full-sibling
HG01060	HG01060	HG01074	HG01074	10.556	3	second-degree
HG01060	HG01060	HG01075	HG01075	3.53	1	unrelated
HG01060	HG01060	HG01083	HG01083	7.931	1	third-degree
HG01060	HG01060	HG01105	HG01105	11.472999999999999	2	second-degree
HG01060	HG01060	HG01187	HG01187	3.8	1	unrelated
